"LAKE_CODE","exp_rich","shannon"
"2638700",18,2.386
"2640100",21.992,6.015
"2640500",8,2.186
"2640700",9.248,3.134
"2642000",8.498,2.532
"2649500",19.25,3.163
"2650900",17.244,2.769
"2656200",22.499,2.745
"2662400",11.994,2.517
"2670600",17.123,2.122
"2671000",14.999,3.081
"2671100",10.986,2.776
"2672500",23.999,3.5
"2673600",8.994,2.708
"2676800",26.883,3.983
"2678300",19.997,2.273
"2681600",8.495,3.873
"2685200",18.999,1.291
"2687500",4,3.659
"2691500",18.245,5.193
"2691800",22.426,4.009
"2691900",10.166,5.426
"2692900",19.496,7.624
"2693100",22.499,2.297
"2693700",21.991,6.778
"2694000",12,3.382
"2695800",22.499,4.4
"270200",18.979,4
"2702100",25.978,5.807
"2704200",6,4.071
"2706300",14.999,3.417
"2706500",18.998,4.901
"2709800",22.666,1.908
"2712000",55.963,6.173
"2714500",16.167,2.818
"2719400",18.999,3.81
"2725500",11,4.645
"2726000",12,2.397
"2740300",19.497,2.367
"2742100",25.663,6.875
"2742700",20.495,5.764
"2743200",13.995,2.823
"2743300",16,3.009
"27500",11,2.42
"2767100",10,2.835
"2767300",4,1.995
"2768900",6,3.069
"278800",20,5.316
"283600",8,2.315
"2858100",22.498,1.747
"2858300",15.994,4.007
"2865000",22.998,4.734
"2881200",6.25,1.026
"2897100",8.499,2.858
"2897300",13.125,5.793
"2898400",10.167,3.04
"2899400",8.986,2.621
"2900200",14.999,4.632
"2901600",13.464,3.351
"2901700",14.125,1.973
"2904900",14.998,3.312
"2935500",6,3.458
"2942300",9.998,1.806
"294500",12,3.503
"2949200",25.999,1.183
"2958500",20.497,4.067
"299000",38.975,3.946
"30300",12,2.254
"322500",22.223,4.47
"323700",18.491,3.291
"32500",10.991,3.408
"36200",10,2.967
"373500",8.988,2.737
"376900",12,3.857
"377900",10,3.502
"378400",15.245,3.69
"38700",14.5,5.71
"388100",12.997,5.568
"388500",8,5.092
"406400",12.167,2.73
"406900",24.973,5.843
"415000",15.5,4.899
"418300",15.999,4.242
"451000",13.999,6.518
"45200",13.999,3.227
"46000",9,3.07
"466700",15.996,4.17
"479300",14.125,3.984
"496300",11.5,2.532
"499200",5,3.313
"501200",14.5,7.265
"530500",14,2.685
"540600",23,5.707
"555200",11.999,5.142
"555700",15.25,5.197
"58000",13.243,2.779
"585100",5.989,2.631
"587400",6.499,1.555
"588000",4,1.42
"589400",3,1.772
"591600",7.498,2.964
"59300",10.166,5.002
"60800",9,3.083
"608400",11.166,3.621
"609400",16,6.751
"610700",26,6.53
"634300",21.5,12.045
"651600",7,3.392
"653700",11,4.559
"672300",13,3.954
"672900",10.249,3.805
"67400",13.499,6.421
"677400",14.244,2.101
"679300",18.996,2.965
"679900",7.497,2.917
"68300",11.992,2.916
"692400",11.988,7.069
"692900",20.995,4.438
"704200",13.166,5.973
"716800",20.499,1.913
"733850",10.996,2.229
"735100",10,3.154
"738400",12,4.534
"739100",12.999,5.874
"743000",15.998,3.44
"747100",14.467,3.019
"750300",14.5,1.673
"750800",9.994,3.787
"753800",15.998,6.599
"755500",18.489,4.963
"759800",5,3.109
"761300",26.241,4.28
"762400",10.994,2.957
"763200",15.25,4.828
"765800",12.249,4.032
"766000",17.994,3.677
"766600",17.23,3.884
"772000",18.998,3.827
"778400",10.499,3.044
"779200",27.898,6.565
"779300",8,1.994
"793600",13.25,2.414
"795100",13.995,3.203
"802600",29,1.085
"803700",26.167,1.11
"804600",19.5,1.124
"805000",13,1.577
"805400",29,1.163
"806500",18.975,1.863
"809600",10.998,2.02
"815200",8.987,5.197
"819800",6,3.033
"820800",11.666,1.497
"825000",8.498,3.622
"826300",14.988,3.27
"835800",17.124,5.729
"839100",9.998,2.599
"84600",7,2.421
"848800",14.998,4.254
"849600",11.499,3.174
"850300",13.971,2.227
"852400",15.167,1.018
"853200",17.247,4.454
"854300",17.997,3.881
"858300",24.165,4.144
"87900",3,1.638
"879400",8.957,5.256
"94200",9.997,4.253
"94300",4.497,2.072
"971600",12.499,4.126
"972000",7,5.027
"975000",8.995,1.742
"97700",29.247,9.874
"977500",14.993,5.261
"978900",6,2.926
"980900",12.99,2.824
"985000",10,2.117
"98600",21.667,2.049
"994800",6.992,1.913
"994900",5,2.436
"995200",13.499,7.241
"998400",3,2.12
