"COMIDv2_JR","lat","lon","samp_year","STATE_AB","obs_spec","HU4_ZoneID","HU8_ZoneID","HU12_ZoneID","exp_rich","StreamOrde","order_class","samp_length","width.x","width.y","width","area"
12183703,46.4599533,-84.9879656,2006,"MI",9,"HU4_24","HU8_151","HU12_20108",9,1,"HW",281.94,NA,NA,NA,NA
12189013,46.31459976,-85.19555378,2004,"MI",4,"HU4_24","HU8_150","HU12_13874",4.484,3,"MID",2414.016,NA,11.68,11.68,0.02819570688
12189197,46.3901153,-85.28821162,2005,"MI",10,"HU4_24","HU8_150","HU12_13885",10.165,5,"MID",1609.344,NA,59.79,59.79,0.09622267776
12203198,44.80693424,-83.32427268,2003,"MI",14,"HU4_31","HU8_205","HU12_13752",16.244,3,"MID",365.76,10.2413,NA,10.2413,0.003745857888
12206504,46.24899368,-84.84501576,2005,"MI",6,"HU4_31","HU8_159","HU12_13853",6.494,1,"HW",152.4,1.99949,NA,1.99949,0.000304722276
12211124,46.10174857,-84.22685143,2004,"MI",11,"HU4_31","HU8_158","HU12_20105",11,2,"HW",152.4,4.12394,NA,4.12394,0.000628488456
12242482,42.72993046,-84.48399932,2003,"MI",22,"HU4_37","HU8_191","HU12_12418",23.497,4,"MID",150,NA,33.28,33.28,0.004992
12242770,42.75604938,-84.71191738,2005,"MI",13,"HU4_37","HU8_191","HU12_19872",25.38,6,"RIVER",1429.512,NA,42.2,42.2,0.0603254064
12256258,42.00648412,-85.42892637,2005,"MI",13,"HU4_37","HU8_184","HU12_6649",13.995,5,"MID",1578.864,NA,50.97,50.97,0.08047469808
12257116,42.07278115,-86.4600862,2005,"MI",13,"HU4_37","HU8_184","HU12_6545",15.23,6,"RIVER",1514.856,NA,102.99,102.99,0.15601501944
12498902,45.11752139,-84.45051941,2006,"MI",8,"HU4_31","HU8_209","HU12_20077",12.482,2,"HW",304.8,7.93394,NA,7.93394,0.002418264912
12502939,45.34743976,-84.83477963,2003,"MI",4,"HU4_31","HU8_206","HU12_13658",4,2,"HW",152.4,3.68808,NA,3.68808,0.000562063392
12503387,45.24388316,-84.44786201,2004,"MI",3,"HU4_31","HU8_206","HU12_13657",3,3,"MID",304.8,12.3017,NA,12.3017,0.00374955816
12944334,44.41485207,-84.02864098,2005,"MI",11,"HU4_40","HU8_211","HU12_13708",23.461,2,"HW",304.8,6.07162,NA,6.07162,0.001850629776
12953210,44.91459091,-84.57262035,2004,"MI",7,"HU4_31","HU8_207","HU12_13671",8.975,1,"HW",121.92,3.8862,NA,3.8862,0.000473805504
12953268,44.75637008,-84.4578939,2006,"MI",14,"HU4_31","HU8_207","HU12_20073",19.998,3,"MID",390.144,32.9916,NA,32.9916,0.0128714747904
12953308,44.66848158,-84.43931073,2004,"MI",10,"HU4_31","HU8_207","HU12_20070",11.993,4,"MID",1609.344,12.192,NA,12.192,0.019621122048
12953358,44.5256646,-84.62986237,2006,"MI",13,"HU4_31","HU8_207","HU12_13660",14.998,2,"HW",152.4,6.096,NA,6.096,0.0009290304
12955128,44.45859398,-84.4437503,2005,"MI",16,"HU4_31","HU8_207","HU12_13702",16,3,"MID",304.8,11.4605,NA,11.4605,0.0034931604
12961725,44.92963444,-83.90619715,2004,"MI",14,"HU4_31","HU8_210","HU12_13761",14.662,2,"HW",152.4,4.46227,NA,4.46227,0.000680049948
12961811,44.89006047,-83.95566732,2004,"MI",4,"HU4_31","HU8_210","HU12_13761",4,2,"HW",152.4,6.096,NA,6.096,0.0009290304
12962327,44.6977863,-83.60610044,2003,"MI",9,"HU4_31","HU8_210","HU12_13740",9,2,"HW",152.4,1.99644,NA,1.99644,0.000304257456
13007330,43.51392949,-83.16425268,2004,"MI",6,"HU4_40","HU8_216","HU12_12806",6,2,"HW",152.4,2.74015,NA,2.74015,0.00041759886
13015549,43.16478072,-83.94143716,2004,"MI",18,"HU4_40","HU8_215","HU12_19923",30.454,4,"MID",243.84,12.1219,NA,12.1219,0.002955804096
13019825,42.87660772,-83.69138187,2003,"MI",11,"HU4_40","HU8_215","HU12_12558",11,2,"HW",243.84,NA,NA,NA,NA
13019901,42.86470388,-83.54354793,2004,"MI",16,"HU4_40","HU8_215","HU12_12556",16,1,"HW",243.84,5.59918,NA,5.59918,0.0013653040512
13027587,43.37886541,-83.9865123,2005,"MI",10,"HU4_40","HU8_198","HU12_12790",10.992,6,"RIVER",1783.08,NA,136.44,136.44,0.2432834352
13028347,43.30098247,-84.13936243,2004,"MI",9,"HU4_40","HU8_198","HU12_12781",10.984,3,"MID",365.76,28.2519,NA,28.2519,0.010333414944
13030899,42.9152471,-83.90771482,2003,"MI",8,"HU4_40","HU8_198","HU12_12538",8,2,"HW",152.4,NA,NA,NA,NA
13032075,42.88366807,-84.04496302,2003,"MI",21,"HU4_40","HU8_198","HU12_12542",29.969,5,"MID",213.36,22.9271,NA,22.9271,0.004891726056
