"COMIDv2_JR","LAT_DD","LON_DD","samp_year","samp_length","width","common_name","scientific_name","ind_count","STATE","SPP_CODE_new","obs_spec","slope","exp_rich","shannon","HU4_ZoneID","HUC4","HU8_ZoneID","HU12_ZoneID","StreamOrde","LENGTHKM","CLASS"
13626043,43.13356314,-90.94287246,2002,192,NA,"burbot","Lota lota",4,"WI","BURBOT",3,0,3,1.967,"HU4_33","0707","HU8_381","HU12_10277",3,2.013,"MID_stream"
13626043,43.13356314,-90.94287246,2002,192,NA,"brown trout","Salmo trutta",304,"WI","BROWN_TROUT",3,0,3,1.967,"HU4_33","0707","HU8_381","HU12_10277",3,2.013,"MID_stream"
13626043,43.13356314,-90.94287246,2002,192,NA,"brook trout","Salvelinus fontinalis",145,"WI","BROOK_TROUT",3,0,3,1.967,"HU4_33","0707","HU8_381","HU12_10277",3,2.013,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"white sucker","Catostomus commersonii",13,"WI","WHITE_SUCKER",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"mottled sculpin","Cottus bairdii",16,"WI","MOTTLED_SCULPIN",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"brook stickleback","Culaea inconstans",6,"WI","BROOK_STICKLEBACK",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"fantail darter","Etheostoma flabellare",1,"WI","FANTAIL_DARTER",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"johnny darter","Etheostoma nigrum",3,"WI","JOHNNY_DARTER",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"blacknose dace","Rhinichthys atratulus",1,"WI","BLACKNOSE_DACE",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"brown trout","Salmo trutta",3,"WI","BROWN_TROUT",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625655,43.36438988,-90.87538035,2001,NA,NA,"creek chub","Semotilus atromaculatus",5,"WI","CREEK_CHUB",8,0.042,8.979,6.149,"HU4_33","0707","HU8_381","HU12_10279",3,2.593,"MID_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"black bullhead","Ameiurus melas",1,"WI","BLACK_BULLHEAD",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"brook stickleback","Culaea inconstans",18,"WI","BROOK_STICKLEBACK",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"bluntnose minnow","Pimephales notatus",2,"WI","BLUNTNOSE_MINNOW",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"blacknose dace","Rhinichthys atratulus",7,"WI","BLACKNOSE_DACE",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"brown trout","Salmo trutta",12,"WI","BROWN_TROUT",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"brook trout","Salvelinus fontinalis",34,"WI","BROOK_TROUT",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"creek chub","Semotilus atromaculatus",24,"WI","CREEK_CHUB",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
13625881,43.22443943,-90.90234951,2001,300,NA,"slimy sculpin","Cottus cognatus",34,"WI","SLIMY_SCULPIN",8,0.009,8.496,5.96,"HU4_33","0707","HU8_381","HU12_10281",2,2.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"white sucker","Catostomus commersonii",28,"WI","WHITE_SUCKER",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"northern pike","Esox lucius",4,"WI","NORTHERN_PIKE",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"fantail darter","Etheostoma flabellare",2,"WI","FANTAIL_DARTER",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"johnny darter","Etheostoma nigrum",72,"WI","JOHNNY_DARTER",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"American brook Lamprey","Lethenteron appendix",20,"WI","AMERICAN_BROOK_LAMPREY",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"blackside darter","Percina maculata",2,"WI","BLACKSIDE_DARTER",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
