"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"12242482","SMALLMOUTH_BASS",6,22,23.497,0.28028416,"MID_stream","MI","stream"
"12242482","LARGEMOUTH_BASS",3,22,23.497,0.28028416,"MID_stream","MI","stream"
"12242482","RIVER_CHUB",42,22,23.497,0.28028416,"MID_stream","MI","stream"
"12242482","ROSYFACE_SHINER",23,22,23.497,0.28028416,"MID_stream","MI","stream"
"12242482","BLACKSIDE_DARTER",43,22,23.497,0.28028416,"MID_stream","MI","stream"
"12242482","BLUNTNOSE_MINNOW",28,22,23.497,0.28028416,"MID_stream","MI","stream"
"12242482","CREEK_CHUB",6,22,23.497,0.28028416,"MID_stream","MI","stream"
"13173555","ROCK_BASS",1,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","COMMON_CARP",7,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","REDFIN_PICKEREL",1,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","PUMPKINSEED",3,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","BLUEGILL",84,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","LONGEAR_SUNFISH",1,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","LARGEMOUTH_BASS",4,8,10.972,0.03853371,"MID_stream","MI","stream"
"13173555","BLACK_CRAPPIE",6,8,10.972,0.03853371,"MID_stream","MI","stream"
"13175069","ROCK_BASS",8,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","BOWFIN",1,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","SPOTFIN_SHINER",2,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","NORTHERN_HOG_SUCKER",3,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","BLUEGILL",5,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","SMALLMOUTH_BASS",7,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","LARGEMOUTH_BASS",1,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","BLACK_REDHORSE",10,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","EMERALD_SHINER",39,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","MIMIC_SHINER",58,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","YELLOW_PERCH",7,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","LOGPERCH",7,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","BLACKSIDE_DARTER",3,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","BLUNTNOSE_MINNOW",5,15,19.471,0.01193472,"MID_stream","MI","stream"
"13175069","WALLEYE",1,15,19.471,0.01193472,"MID_stream","MI","stream"
"13030899","BLACKNOSE_DACE",70,8,8,NA,"HW_stream","MI","stream"
"13030899","BLACKSIDE_DARTER",4,8,8,NA,"HW_stream","MI","stream"
"13030899","BLUNTNOSE_MINNOW",6,8,8,NA,"HW_stream","MI","stream"
"13030899","CENTRAL_STONEROLLER",6,8,8,NA,"HW_stream","MI","stream"
"13030899","CREEK_CHUB",104,8,8,NA,"HW_stream","MI","stream"
"13030899","JOHNNY_DARTER",18,8,8,NA,"HW_stream","MI","stream"
"13030899","NORTHERN_PIKE",2,8,8,NA,"HW_stream","MI","stream"
"13030899","WHITE_SUCKER",2,8,8,NA,"HW_stream","MI","stream"
"13032075","ROCK_BASS",47,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","YELLOW_BULLHEAD",1,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","BROWN_BULLHEAD",1,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","WHITE_SUCKER",7,21,29.969,0.14126174,"MID_stream","MI","stream"
