"COMIDv2_JR","exp_rich","shannon"
13103041,18.978,11.985
13103045,14.461,5.031
13103289,13.987,10.362
13103293,7.495,5.131
13104221,11.984,4.794
13104277,22.996,8.45
13104301,22.194,10.759
13104329,17.998,6.996
13104337,6.992,3.388
13104407,2,1.632
13104435,18,8.101
13104485,17.99,8.192
13104497,18,11.264
13104545,20,9.375
13104563,24.125,10.579
13104593,18.999,10.513
13104599,12.968,5.855
13104609,18.5,8.341
13104623,21.25,12.028
13104625,21.995,13.266
13104627,12,8.324
13105947,20.991,5.95
13105971,20.958,10.583
13105979,13,9.238
13105987,3,3.061
13106005,18.249,9.777
13106007,15.166,7.277
13106015,4,2.385
13106043,12,8.937
13106063,17.656,6.33
13106095,2,1.878
13106109,14.99,8.272
13106113,17,6.779
13106117,10.99,7.049
13106123,8,5.89
13106141,8,4.913
13106147,4.493,1.552
13106151,11,9.41
13106155,4.978,2.383
13106171,18.662,10.361
13106183,2,2.108
13106189,5,1.461
13106191,5,2.592
13106213,5,5.204
13106217,5.492,3.159
13106223,8,5.78
13106227,16.235,6.304
13106237,2,2.108
13106239,18.98,5.874
13106263,19.975,9.065
13106267,12,5.534
13106269,4,3.118
13106309,4,2.032
13106319,27.24,8.77
13106327,10.165,5.251
13106351,10.495,5.532
13106363,10.989,3.248
13106375,7,5.119
13106377,4,3.263
13106389,8,4.254
13106395,7,4.409
13106409,6,1.789
13106411,3,2.539
13106869,5,3.848
13106927,2,1.362
13107011,2,1.804
13107021,18.984,3.325
13107033,9.494,7.295
13107041,17.492,4.621
13107043,6,3.212
13107045,14.25,5.114
13107373,5.994,2.309
13107375,11,4.068
13107747,4,2.628
13107763,2,1.741
13107799,17.999,8.249
13107827,15.499,8.218
13107861,25.994,8.539
13108009,5.979,3.114
13120220,14.496,8.222
13121818,17.497,9.929
13121908,18,7.716
13122114,57.339,6.039
13122228,28.972,14.227
13122552,5.246,1.707
13132185,22.155,5.421
13133451,14,8.535
13133497,9.658,5.684
13133509,18.994,10.372
13133569,11,8.137
13133605,18,9.972
13133667,17.995,12.833
13133791,13,6.971
13133847,16.996,8.211
13134041,13,9.998
13135701,18.487,5.645
13135923,2,2.089
13135953,16.992,8.477
13136031,4,3.213
13136167,47.98,3.291
13136249,2,2.066
13136285,3,2.159
13136323,14.244,4.483
13136357,9.974,5.747
13136387,4,3.992
13136481,2,1.342
13136553,6,4.064
13136571,2,1.086
13136593,4,3.022
13136629,2,1.8
13136641,4,1.828
13136661,4,2.781
13136675,6,2.502
13136821,7,2.49
13136825,10,5.841
13136829,6,5.493
13136841,6,5.236
13136865,5,3.541
13136869,4,4.023
13136907,4,3.901
13136935,3,2.066
13137075,7,5.714
13137083,2,1.118
13137089,4,3.475
13137121,8,3.18
13137565,21.496,6.858
13137603,10.495,7.963
13137663,7,4.821
13137707,9,5.958
13137713,5,2.722
13137735,6.481,5.324
13138331,11.992,5.84
13138635,2,1.159
13138743,8,5.195
13138865,10,6.265
13138883,10,7.001
13138895,5,4.238
13138909,8,3.683
13138943,9,6.04
13138957,5,4.364
13139023,7,4.481
13139133,6,3.568
13139145,3,2.627
13139331,7.981,3.021
13139387,2,2.137
13139405,8.991,3.624
13139417,7,3.725
13139433,13.478,3.365
13139467,8,4.267
13139495,4,2.046
13139505,6,4.046
13139511,8.964,3.017
13139569,10,6.332
13140641,6.495,3.632
13140645,2,1.049
13173555,10.972,2.55
13175069,19.471,7.706
13183098,21.482,11.344
13194508,18.446,12.075
13204443,21.143,5.971
13205792,2,1.199
13205818,7.498,5.132
13205824,4,2.916
13205832,6.499,1.685
13205862,4,2.184
13207006,7,3.576
13207262,19.995,6.341
13207404,26.984,9.51
13207674,3,1.58
13207724,6,3.089
13207820,10.999,3.83
13209398,3,1.623
13209462,2,1.182
13209464,5,1.551
13209474,7.972,3.475
13209848,7.498,2.547
13209960,6,3.975
13210108,7.998,1.41
13210110,5,2.139
13210140,3,1.467
13210154,5.996,1.708
13210254,3,2.042
13210300,11.978,6.076
13211412,10.975,4.288
13211792,4.997,1.278
13282922,14.985,6.33
13283262,22,9.816
13289780,27.1,7.282
13289886,10.498,5.671
13290352,13.166,7.416
13290384,10.435,2.052
13291138,14,6.37
13291656,20.997,7.449
13291826,22.469,13.556
13291926,40.988,6.012
13291934,12.997,4.334
13292248,13,3.723
13292300,11,4.788
13292552,16.5,3.305
13294132,13.988,4.5
13294138,4.484,2.854
13295134,16.957,11.562
13295168,44.941,16.412
13295206,16.489,4.449
13295352,5.977,2.622
13295354,16.664,8.69
13295384,15.988,7.921
13295414,34.986,8.586
13295450,11.993,2.977
13295582,24.94,10.554
13295620,21.499,10.398
13296040,35.961,7.054
13296072,8.496,3.977
13296090,12,6.45
13296114,28.121,8.407
13296144,15.994,9.302
13296610,16.662,9.542
13296760,16.463,5.946
13297098,6.494,3.796
13297104,10.99,3.857
13297140,9.971,3.14
13297226,14.433,5.87
13309871,11,5.271
13309911,29.994,13.79
13311753,9,6.437
13323346,13.464,4.768
13323392,11.989,6.095
13323506,12.994,5.285
13323514,6.99,2.159
13323604,11.994,2.299
13324056,15.499,9.442
13324152,15.99,10.446
13324256,17.495,8.035
13324402,19.246,7.986
13324626,28.986,10.038
13324858,2,2.189
13325354,12.249,6.837
13337478,38.995,17.777
13344470,17.25,8.314
13344810,3,2.527
13344818,9.974,3.215
13344830,12,1.508
13344874,27.225,13.322
13346168,7,6.116
13350166,11.495,9.132
13350738,17,9.081
13356872,10,6.977
13356894,4,4.435
13356904,9,6.339
13356928,12,7.727
13356966,15.498,11.777
13357152,6.244,4.166
13357386,16.5,6.037
13357446,15,5.624
13357536,12,8.235
13358752,14,8.794
13361690,36.444,10.326
13374317,31.497,5.483
13375129,16.498,10.454
13377407,9,5.432
13391971,13,1.58
13392265,20,8.187
13392271,14.249,4.905
13392327,13,8.521
13395815,12.967,8.03
13395931,8.992,3.487
13395953,13,9.297
13395955,9.664,2.694
13396333,13,3.49
13396355,19.25,2.06
13396681,19.953,3.027
13396823,11.249,6.737
13398929,18.97,9.292
13398937,9.497,6.733
13400191,7,4.305
13400205,4.498,1.182
13400209,4,2.962
13400893,2,1.012
13409794,3,2.394
13409844,7.657,2.581
13409910,16.484,4.215
13409922,2,1.185
13409924,2,1.917
13409948,10,3.867
13409974,7,4.021
13409990,2,2.001
13409992,4,3.026
13410048,5.983,3.155
13410078,7.978,2.842
13410118,2,1.137
13410136,2,1.834
13410186,9.996,5.424
13410282,11,7.89
13410300,14.231,6.356
13410338,6,3.855
13410354,12,7.674
13410364,8.498,3.164
13410390,2,1.577
13410420,2,1.157
13410446,24.23,7.466
13410450,6,4.868
13410530,2,1.092
13410546,22.933,6.567
13410648,23.489,8.861
13410798,13,3.29
13410828,3,1.516
13410972,14,8.77
13411030,4,3.704
13411060,17,5.622
13411114,15,9.272
13411228,16.499,8.933
13411266,15.248,11.079
13411388,19.964,5.022
13411548,3,2.118
13411596,10,5.493
13411620,15.498,8.817
13411634,8,4.32
13411646,24.145,4.835
13411672,20.986,5.363
13411732,16.24,7.706
13411770,5.488,3.687
13411818,16.998,6.358
13411842,24.246,5.461
13411920,19.996,6.668
13411930,14,10.33
13411944,19,10.571
13412020,19.998,9.026
13412332,20.1,9.092
13412364,11,7.056
13412394,14.999,6.866
13412452,14.981,8.875
13412490,9.496,6.805
13412514,15.979,3.182
13412596,21.487,10.656
13412632,24.957,6.887
13412646,15.493,7.642
13412654,8,6.537
13412956,6,2.851
13418864,21.666,6.791
13424661,6,1.76
13424683,8,4.316
13424707,3,1.107
13424731,14.666,4.006
13425003,7,4.341
13425017,5,2.432
13425039,7,1.978
13425041,3,1.618
13425043,3,2.636
13425061,5,1.86
13425065,21,3.573
13425069,4,1.75
13425081,19,5.655
13425089,5,2.409
13425105,7,3.973
13425111,9,3.934
13425115,3,1.147
13425117,19,7.06
13425121,3,2.487
13425135,7,3.351
13425171,23,7.534
13425183,5,2.727
13425233,3,1.659
13425241,5,1.274
13425271,7,3.016
13425321,4,2.097
13425363,5,1.354
13425365,20,6.383
13425367,17.947,7.979
13425381,7,2.973
13425419,9.957,4.609
13425551,30.986,9.09
13425613,7,2.691
13425631,8,2.604
13425675,6,3.053
13425705,8,3.692
13425715,7,5.209
13425785,11,6.644
13425835,12,3.124
13426017,30.249,4.595
13426019,24.996,9.781
13426025,16,7.39
13426031,18,9.095
13426217,8,3.354
13624135,26.987,9.97
13624159,10,5.927
13624211,16.998,7.107
13624237,4,2.895
13624277,7,4.558
13624345,9,4.145
13624437,9.497,5.722
13624491,5.993,2.833
13624513,18.987,4.794
13624575,3,2.488
13624643,3,1.965
13624991,27.112,11.289
13625333,2,1.401
13625439,2,1.141
13625527,4,2.772
13625655,8.979,6.149
13625661,3,1.886
13625731,2,1.084
13625747,2,1.901
13625757,8.995,1.939
13625765,15.745,6.065
13625881,8.496,5.96
13625925,5.479,3.734
13626043,3,1.967
13631145,3,2.196
13631169,3,2.143
13631807,6.993,2.778
13632113,5,5.117
13632195,2,1.878
13632307,18,7.483
13632431,9.247,5.509
13633019,5,2.342
13633037,12.996,4.116
13633135,4,1.426
13633141,18.971,3.988
13633269,3,2.344
13633341,2,1.3
13633375,7.992,2.934
13633403,2,2.03
13633435,5,2.927
13633447,4,2.584
13633463,3,1.549
13633483,2,1.879
13633507,5,1.59
13633509,3,2.526
13633531,2,2.011
13633539,4,3.25
13633703,10.971,4.679
13633805,6,3.561
13633809,6,3.926
13634631,2,1.781
13634669,2,1.775
13634691,3,2.929
13634717,3,2.76
13634739,2,1.78
13634811,5,3.898
13634905,5.996,1.511
13635043,7,4.036
13635051,16.984,6.33
13635053,7.491,5.478
13635059,7.977,3.73
13635085,12.249,7.87
13635119,9.975,3.311
13635125,12.25,7.397
13635141,8.987,5.244
13635187,7.994,3.486
13635207,6.988,2.355
13635281,2,1.878
13635329,2,2.005
13635437,7.978,5.417
13635487,7.246,3.668
13635513,5.483,4.245
13635749,7.984,2.453
13635781,5,3.724
13635807,6,2.97
13635875,4,2.423
13636165,4,3.111
13636267,8,5.545
13636763,8.968,3.016
13636833,7.99,4.355
13637155,2,1.211
13637253,8.496,3.552
13637341,4,3.176
13637353,3.976,1.309
13652222,3.497,1.131
13652658,12.996,6.475
13652664,2,1.726
13652668,7.496,3.503
13652686,12.662,6.359
13652700,6,4.489
13652732,9.988,5.46
13652754,11.99,8.398
13652760,7.99,1.491
13652762,12.983,3.876
13652812,13.999,5.851
13652870,12.981,5.253
13652884,11.986,4.373
13652904,5,3.98
13652920,8.981,2.876
13652930,6,4.347
13652936,4,1.441
13652972,17.485,5.286
13652988,9.989,6.222
13653008,6,4.191
13653026,10.497,6.456
13653054,12.25,7.469
13653082,13,7.398
13653112,10.499,7.217
13653114,11,7.28
13653158,7,6.797
13653170,8,5.246
13653206,10,8.127
13653556,29.236,9.103
13653940,4,2.728
13654068,5,2.886
13654142,11,8.107
13654512,12,7.879
13654520,12.991,4.762
13654568,10.995,5.728
13654580,11.997,7.404
13654604,8.248,4.403
14443726,5.249,1.597
14446300,4,1.207
14621216,15.99,8.393
14621958,13,8.095
14622408,6.494,3.745
14622938,16.125,7.186
14702010,28.995,6.493
14703000,65.385,8.947
14703562,13.459,4.718
14703566,15.997,10.326
14703634,10,6.055
14703652,13,7.482
14703852,9.993,4.001
14704212,23,7.48
14704566,6.497,2.626
14704588,27.438,8.346
14704700,6,3.13
14704708,15.244,2.501
14704726,8,3.045
14704732,13.5,7.274
14704738,4,1.335
14704746,2,1.645
14704768,3,2.905
14704796,5.497,1.876
14704806,9,6.542
14704840,27.122,15.514
14704932,5,3.519
14705050,11.998,3.729
14705072,5,3.146
14705074,11.994,4.546
14706082,9,5.545
14706116,16,8.841
14706188,20,6.027
14706802,3,2.059
14708648,7,3.756
14709174,3,2.787
14709874,22.494,10.891
14710416,8.983,6.331
14710444,9.985,7.134
14710478,8.249,4.528
14710484,7.989,4.35
14710496,4,3.317
14710510,11.997,6.628
14710570,13.982,6.659
14710598,13,6.712
14710630,12.482,7.063
14710708,3,2.47
14711068,8.248,5.447
14711082,8,4.639
14711102,11,7.034
14711108,9,7.406
14726802,3,2.813
14726946,13.999,7.422
14727260,10.999,1.438
14727284,9,1.635
14727346,10,7.462
14727502,7,4.949
14727516,15,8.5
14727520,5,4.131
14727570,6,4.349
14727818,18,8.492
14727972,11,7.177
14728214,13.998,6.232
14728604,11,4.747
14728608,12.664,5.354
14728878,18.973,10.364
14729402,11.496,9.207
14729452,15.245,5.124
14729526,10.498,6.785
14730412,6,3.186
14731134,6,2.741
14731148,8,3.976
14731256,9,3.512
14731276,9,5.504
14731278,8,3.981
14731366,14,4.25
14731404,12,9.024
14732120,9,4.237
14732128,5,2.136
14732238,9,5.187
14732372,23.969,9.245
14732950,12.995,7.851
14732960,19.994,7.77
14767234,10.989,4.317
14767258,21.997,3.152
14767558,16,6.199
14768316,15.955,6.382
14768328,12.992,7.974
14768588,10,3.504
14768650,19,13.129
14768740,28.443,5.562
14768834,25.995,13.905
14768988,10,8.307
14769170,3,1.245
14769224,9.248,5.14
14783653,18.498,7.346
14783655,19.648,10.265
14783943,4,2.347
14783969,9,4.314
14784009,21,14.813
14784011,28.937,4.809
14784047,6,2.299
14804281,5.98,1.269
14806669,13.998,6.615
14806729,4,2.444
14807133,23.898,7.281
15661330,24.497,10.067
15661466,25.155,9.019
17205438,13.997,5.859
17205992,15.981,7.863
17206576,19.99,5.126
17216154,4,3.329
17225969,8,5.526
17226557,16.234,8.33
17233688,5,3.509
17234054,8,5.884
17239110,19.486,9.422
17239272,13.993,7.245
17239468,14.999,5.8
17243626,5,3.846
17246666,4,3.907
17246736,18.237,9.506
17543657,16.666,5.755
17556517,6,3.094
19164939,10.993,5.281
19166097,7,3.474
19166401,23.161,5.001
19166985,6.997,3.426
19207819,4,2.756
19208483,19.129,7.605
19333157,2,2.06
19333169,2,1.394
19333177,3,2.115
19333337,2,2.058
19333447,4,3.674
19333747,2,1.72
19333867,2,2.005
19333871,2,2.189
19334227,3,2.853
19334231,5.992,2.959
19334429,4,2.988
19335069,5,2.901
22250535,19.646,8.69
22253429,9.996,5.126
22471527,18.996,10.145
22471733,28.992,10.92
166174041,5,4.036
166196063,7,5.602
904030493,8.994,3.647
937070253,5,4.178
